record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,UZSK,RW16,09288,1590,N38485241,E065460706,,01229,0000,54,148,IJP,,S,Simulation application continuation,,,,24157,2510,SEEUP UZSKUTGRW16    1092881590 N38485241E065460706               01229000054148 IJP  0000                                 ,SEEUP UZSKUTGRW16    2S                            16392Y        L01229                                                    
S,EEU,P,G,UZSK,RW34,09288,3390,N38472833,E065463803,,01220,0430,50,148,,,S,Simulation application continuation,,,,24159,2510,SEEUP UZSKUTGRW34    1092883390 N38472833E065463803               01220043050148      0000                                 ,SEEUP UZSKUTGRW34    2S                            34392Y        L01220                                                    
S,EEU,P,G,UZSS,RW09,10187,0910,N39421095,E066575195,,02176,0000,53,148,IMZ,,S,Simulation application continuation,,,,24341,2202,SEEUP UZSSUTGRW09    1101870910 N39421095E066575195               02176000053148 IMZ  0197                                 ,SEEUP UZSSUTGRW09    2S                            09569Y        L02176                                                    
S,EEU,P,G,UZSS,RW27,10187,2710,N39420133,E066595662,,02221,0394,51,148,ISD,,S,Simulation application continuation,,,,24343,2202,SEEUP UZSSUTGRW27    1101872710 N39420133E066595662               02221039451148 ISD  0197                                 ,SEEUP UZSSUTGRW27    2S                            27572Y        L02221                                                    
S,EEU,P,G,UZST,RW07,09843,0700,N37170167,E067173050,+0140,01014,0000,49,148,,,S,Simulation application continuation,,,,24472,2305,SEEUP UZSTUTGRW07    1098430700 N37170167E067173050+0140          01014000049148      0197                                 ,SEEUP UZSTUTGRW07    2S                            07415Y        L01014                                                    
S,EEU,P,G,UZST,RW25,09843,2500,N37172823,E067192764,,01028,0000,50,148,INO,,S,Simulation application continuation,,,,24474,2305,SEEUP UZSTUTGRW25    1098432500 N37172823E067192764               01028000050148 INO  0197                                 ,SEEUP UZSTUTGRW25    2S                            25417Y        L01028                                                    
S,EEU,P,G,UZTC,RW08,08097,0750,N41305416,E069333939,+1000,02287,0000,50,105,,,S,Simulation application continuation,,,,24786,2213,SEEUP UZTCUTGRW08    1080970750 N41305416E069333939+1000          02287000050105      0164                                 ,SEEUP UZTCUTGRW08    2S                            08007Y        L02287                                                    
S,EEU,P,G,UZTC,RW26,08097,2550,N41310794,E069352422,,02370,0000,50,105,,,S,Simulation application continuation,,,,24788,2213,SEEUP UZTCUTGRW26    1080972550 N41310794E069352422               02370000050105      0164                                 ,SEEUP UZTCUTGRW26    2S                            26007Y        L02370                                                    
S,EEU,P,G,UZTP,RW08,13123,0760,N41183801,E069222168,,01538,0000,50,148,IIS,,S,Simulation application continuation,,,,25366,2508,SEEUP UZTPUTGRW08    1131230760 N41183801E069222168               01538000050148 IIS  0246                                 ,SEEUP UZTPUTGRW08    2S                            08178Y        L01538                                                    
S,EEU,P,G,UZTP,RW26,13123,2560,N41185651,E069251189,,01583,0000,50,148,IRZ,,S,Simulation application continuation,,,,25368,2508,SEEUP UZTPUTGRW26    1131232560 N41185651E069251189               01583000050148 IRZ  0246                                 ,SEEUP UZTPUTGRW26    2S                            26181Y        L01583                                                    
S,EEU,P,G,UZTT,RW08L,13123,0760,N41152213,E069153645,+0400,01369,0820,57,197,ING,,S,Simulation application continuation,,,,26068,2508,SEEUP UZTTUTGRW08L   1131230760 N41152213E069153645+0400          01369082057197 ING  0000                                 ,SEEUP UZTTUTGRW08L   2S                            08169Y        L01369                                                    
S,EEU,P,G,UZTT,RW08R,12812,0760,N41151539,E069153772,+0400,01369,0656,51,148,IZW,,S,Simulation application continuation,,,,26070,2508,SEEUP UZTTUTGRW08R   1128120760 N41151539E069153772+0400          01369065651148 IZW  0000                                 ,SEEUP UZTTUTGRW08R   2S                            08167Y        L01369                                                    
S,EEU,P,G,UZTT,RW26L,12812,2560,N41153177,E069180651,-0400,01412,0673,50,148,,,S,Simulation application continuation,,,,26072,2508,SEEUP UZTTUTGRW26L   1128122560 N41153177E069180651-0400          01412067350148      0000                                 ,SEEUP UZTTUTGRW26L   2S                            26170Y        L01412                                                    
S,EEU,P,G,UZTT,RW26R,13123,2560,N41153850,E069180519,-0400,01414,0820,57,197,IFD,,S,Simulation application continuation,,,,26074,2508,SEEUP UZTTUTGRW26R   1131232560 N41153850E069180519-0400          01414082057197 IFD  0000                                 ,SEEUP UZTTUTGRW26R   2S                            26172Y        L01414                                                    
S,EEU,P,G,ZBER,RW12,09186,1170,N43254380,E112042410,,03328,0000,50,148,,,S,Simulation application continuation,,,,29028,2507,SEEUP ZBERZBGRW12    1091861170 N43254380E112042410               03328000050148      0000                                 ,SEEUP ZBERZBGRW12    2S                            11025Y        L03328                                                    
S,EEU,P,G,ZBER,RW30,09186,2970,N43251240,E112062090,,03296,0000,49,148,IER,,S,Simulation application continuation,,,,29030,2507,SEEUP ZBERZBGRW30    1091862970 N43251240E112062090               03296000049148 IER  0000                                 ,SEEUP ZBERZBGRW30    2S                            29025Y        L03296                                                    
S,EEU,P,G,ZGZJ,RW15,10499,1520,N21294630,E110350960,,00067,0000,52,148,IWC,,S,Simulation application continuation,,,,36514,2508,SEEUP ZGZJZGGRW15    1104991520 N21294630E110350960               00067000052148 IWC  0000                                 ,SEEUP ZGZJZGGRW15    2S                            14984Y        T00067                                                    
S,EEU,P,G,ZGZJ,RW33,10499,3320,N21281640,E110360550,,00056,0000,54,148,IZU,,S,Simulation application continuation,,,,36516,2508,SEEUP ZGZJZGGRW33    1104993320 N21281640E110360550               00056000054148 IZU  0000                                 ,SEEUP ZGZJZGGRW33    2S                            32984Y        T00063                                                    
S,EEU,P,G,ZHES,RW01,08530,0120,N30184150,E109290080,,01624,0623,52,148,IGG,,S,Simulation application continuation,,,,38393,2507,SEEUP ZHESZHGRW01    1085300120 N30184150E109290080               01624062352148 IGG  0197                                 ,SEEUP ZHESZHGRW01    2S                            00900Y        L01624                                                    
S,EEU,P,G,ZHES,RW19,08530,1920,N30195080,E109291350,,01596,0820,50,148,,,S,Simulation application continuation,,,,38395,2507,SEEUP ZHESZHGRW19    1085301920 N30195080E109291350               01596082050148      0197                                 ,SEEUP ZHESZHGRW19    2S                            18900Y        L01596                                                    
S,EEU,P,G,ZWWW,RW08L,10499,0710,N43552511,E087271622,,02091,0000,49,148,IQD,,S,Simulation application continuation,,,,61757,2504,SEEUP ZWWWZWGRW08L   1104990710 N43552511E087271622               02091000049148 IQD  0000                                 ,SEEUP ZWWWZWGRW08L   2S                            07358Y        T02091                                                    
S,EEU,P,G,ZWWW,RW08R,11811,0710,N43550966,E087270373,,02094,0000,49,148,IWQ,,S,Simulation application continuation,,,,61759,2504,SEEUP ZWWWZWGRW08R   1118110710 N43550966E087270373               02094000049148 IWQ  0000                                 ,SEEUP ZWWWZWGRW08R   2S                            07358Y        T02094                                                    
S,EEU,P,G,ZWWW,RW26L,11811,2510,N43554240,E087293862,,02094,0000,49,148,IMU,,S,Simulation application continuation,,,,61761,2504,SEEUP ZWWWZWGRW26L   1118112510 N43554240E087293862               02094000049148 IMU  0000                                 ,SEEUP ZWWWZWGRW26L   2S                            25358Y        T02094                                                    
S,EEU,P,G,ZWWW,RW26R,10499,2510,N43555431,E087293388,,02091,0000,49,148,IUR,,S,Simulation application continuation,,,,61763,2505,SEEUP ZWWWZWGRW26R   1104992510 N43555431E087293388               02091000049148 IUR  0000                                 ,SEEUP ZWWWZWGRW26R   2S                            25358Y        T02091                                                    
