record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,GYR,LH,11510,VDH,N47393280,E017432770,,N47393240,E017432760,E0050,00512,2,,386,WGE,GYOR,S,Simulation application continuation,UU,E0054,,71909,2111,SEEUD        GYR   LH111510VDH  N47393280E017432770    N47393240E017432760E0050005122  386WGEGYOR                          ,SEEUD        GYR   LH2S    UU                                             E0054                                            
S,EEU,D,,,,,GZD,EP,11610,VDH,N54231610,E018253100,,N54231610,E018253100,E0070,00500,2,,403,WGE,GDANSK,S,Simulation application continuation,UN,E0067,00500,71911,2510,SEEUD        GZD   EP111610VDH  N54231610E018253100    N54231610E018253100E0070005002  403WGEGDANSK                        ,SEEUD        GZD   EP2S    UN                                             E006700500                                       
S,EEU,D,,,,,HA,UH,11280,VDHW,N50272700,E136552400,,N50272700,E136552400,W0130,00197,2,,,WGE,KOMSOMOLSK-NA-AMURE-KHURBA,S,Simulation application continuation,UN,W0127,00197,71913,2401,SEEUD        HA    UH111280VDHW N50272700E136552400    N50272700E136552400W0130001972     WGEKOMSOMOLSK-NA-AMURE-KHURBA    ,SEEUD        HA    UH2S    UN                                             W012700197                                       
S,EEU,D,,,,,HAB,UH,11230,VDHW,N48324230,E135123730,,N48324230,E135123730,W0120,00295,2,,470,WGE,KHABAROVSK,S,Simulation application continuation,UN,W0123,00295,71915,1710,SEEUD        HAB   UH111230VDHW N48324230E135123730    N48324230E135123730W0120002952  470WGEKHABAROVSK                    ,SEEUD        HAB   UH2S    UN                                             W012300295                                       
S,EEU,D,,,,,HAM,ZW,11310,VDHW,N42503600,E093400600,,N42503600,E093400600,E0010,02766,2,,494,WGE,TAOJIAGONG,S,Simulation application continuation,UN,E0003,02766,71917,1707,SEEUD        HAM   ZW111310VDHW N42503600E093400600    N42503600E093400600E0010027662  494WGETAOJIAGONG                    ,SEEUD        HAM   ZW2S    UN                                             E000302766                                       
S,EEU,D,,,,,HAR,ZB,11390,VDHW,N40434200,E114574800,,N40434200,E114574800,W0070,02411,2,,426,WGE,ZHANGJIAKOU,S,Simulation application continuation,UN,W0073,02411,71921,1913,SEEUD        HAR   ZB111390VDHW N40434200E114574800    N40434200E114574800W0070024112  426WGEZHANGJIAKOU                   ,SEEUD        HAR   ZB2S    UN                                             W007302411                                       
S,EEU,D,,,,,HCH,ZS,11610,VDHW,N37391800,E120324200,,N37391800,E120324200,W0080,00112,2,,392,WGE,HUANGCHENG,S,Simulation application continuation,UN,W0080,00112,71923,2405,SEEUD        HCH   ZS111610VDHW N37391800E120324200    N37391800E120324200W0080001122  392WGEHUANGCHENG                    ,SEEUD        HCH   ZS2S    UN                                             W008000112                                       
S,EEU,D,,,,,HDS,ZB,11610,VDHW,N39292400,E109514200,,N39292400,E109514200,W0050,04596,2,,513,WGE,ORDOS,S,Simulation application continuation,UY,W0053,04596,71927,2113,SEEUD        HDS   ZB111610VDHW N39292400E109514200    N39292400E109514200W0050045962  513WGEORDOS                         ,SEEUD        HDS   ZB2S    UY                                             W005304596                                       
S,EEU,D,,,,,HEK,ZY,11400,VDHW,N50100600,E127183600,,N50100600,E127183600,W0120,01083,2,,,WGE,HEIHE,S,Simulation application continuation,UN,W0127,01083,71931,2007,SEEUD        HEK   ZY111400VDHW N50100600E127183600    N50100600E127183600W0120010832     WGEHEIHE                         ,SEEUD        HEK   ZY2S    UN                                             W012701083                                       
S,EEU,D,,,,,HET,ZB,11690,VDHW,N40433000,E111540000,,N40433000,E111540000,W0060,03593,2,,469,WGE,HOHHOT,S,Simulation application continuation,UY,W0063,03593,71933,2204,SEEUD        HET   ZB111690VDHW N40433000E111540000    N40433000E111540000W0060035932  469WGEHOHHOT                        ,SEEUD        HET   ZB2S    UY                                             W006303593                                       
S,EEU,D,,,,,HFC,ZS,11180,VDHW,N32044800,E116460600,,N32044800,E116460600,W0040,00154,2,,,WGE,CHA'AN,S,Simulation application continuation,UN,W0058,00154,71935,1713,SEEUD        HFC   ZS111180VDHW N32044800E116460600    N32044800E116460600W0040001542     WGECHA'AN                        ,SEEUD        HFC   ZS2S    UN                                             W005800154                                       
S,EEU,D,,,,,HFE,ZS,11670,VDHW,N31463000,E117180600,,N31463000,E117180600,W0040,00292,2,,548,WGE,LUOGANG,S,Simulation application continuation,UN,W0058,00292,71937,2408,SEEUD        HFE   ZS111670VDHW N31463000E117180600    N31463000E117180600W0040002922  548WGELUOGANG                       ,SEEUD        HFE   ZS2S    UN                                             W005800292                                       
S,EEU,D,,,,,HGH,ZS,11300,VDHW,N30142770,E120273747,,N30142770,E120273747,W0060,00043,2,,542,WGE,HANGZHOU,S,Simulation application continuation,UN,W0061,00043,71939,2307,SEEUD        HGH   ZS111300VDHW N30142770E120273747    N30142770E120273747W0060000432  542WGEHANGZHOU                      ,SEEUD        HGH   ZS2S    UN                                             W006100043                                       
S,EEU,D,,,,,HLC,ZU,11595,VDHW,N30180600,E103414200,,N30180600,E103414200,W0020,01860,2,,,WGE,HUILONG,S,Simulation application continuation,UN,W0023,01860,71941,1901,SEEUD        HLC   ZU111595VDHW N30180600E103414200    N30180600E103414200W0020018602     WGEHUILONG                       ,SEEUD        HLC   ZU2S    UN                                             W002301860                                       
S,EEU,D,,,,,HLD,ZB,11510,VDHW,N49121200,E119491800,,N49121200,E119491800,W0110,02188,2,,,WGE,HAILAR,S,Simulation application continuation,UN,W0109,02188,71943,2202,SEEUD        HLD   ZB111510VDHW N49121200E119491800    N49121200E119491800W0110021882     WGEHAILAR                        ,SEEUD        HLD   ZB2S    UN                                             W010902188                                       
S,EEU,D,,,,,HMN,US,11380,VDHW,N61015880,E069073740,,N61015880,E069073740,E0170,00200,2,,452,WGE,KHANTY-MANSIYSK,S,Simulation application continuation,UN,E0180,00200,71947,1904,SEEUD        HMN   US111380VDHW N61015880E069073740    N61015880E069073740E0170002002  452WGEKHANTY-MANSIYSK               ,SEEUD        HMN   US2S    UN                                             E018000200                                       
S,EEU,D,,,,,HNB,UT,11280,VDLW,N38494110,E065551880,,N38494110,E065551880,E0050,01300,2,,,WGE,KHANABAD,S,Simulation application continuation,UN,E0051,01300,71949,2410,SEEUD        HNB   UT111280VDLW N38494110E065551880    N38494110E065551880E0050013002     WGEKHANABAD                      ,SEEUD        HNB   UT2S    UN                                             E005101300                                       
S,EEU,D,,,,,HOK,ZH,11600,VDHW,N31193000,E114254800,,N31193000,E114254800,W0050,00500,2,,,WGE,HEKOU,S,Simulation application continuation,UY,W0051,00500,71955,2411,SEEUD        HOK   ZH111600VDHW N31193000E114254800    N31193000E114254800W0050005002     WGEHEKOU                         ,SEEUD        HOK   ZH2S    UY                                             W005100500                                       
S,EEU,D,,,,,HOT,ZB,11430,VDHW,N43545400,E115580000,,N43545400,E115580000,W0090,03350,2,,596,WGE,XILINHOT,S,Simulation application continuation,UY,W0084,03350,71957,2502,SEEUD        HOT   ZB111430VDHW N43545400E115580000    N43545400E115580000W0090033502  596WGEXILINHOT                      ,SEEUD        HOT   ZB2S    UY                                             W008403350                                       
S,EEU,D,,,,,HRB,ZY,11250,VDHW,N45373600,E126153600,,N45373600,E126153600,W0110,00446,2,,597,WGE,HARBIN,S,Simulation application continuation,UN,W0112,00446,71959,2501,SEEUD        HRB   ZY111250VDHW N45373600E126153600    N45373600E126153600W0110004462  597WGEHARBIN                        ,SEEUD        HRB   ZY2S    UN                                             W011200446                                       
S,EEU,D,,,,,HSH,ZS,11440,VDHW,N31220600,E121504800,,N31220600,E121504800,W0060,00079,2,,336,WGE,HENGSHA,S,Simulation application continuation,UN,W0066,00079,71961,2105,SEEUD        HSH   ZS111440VDHW N31220600E121504800    N31220600E121504800W0060000792  336WGEHENGSHA                       ,SEEUD        HSH   ZS2S    UN                                             W006600079                                       
S,EEU,D,,,,,HSN,ZS,11230,VDHW,N29555400,E122214800,,N29555400,E122214800,W0040,00030,2,,,WGE,ZHOUSHAN,S,Simulation application continuation,UN,W0063,00030,71963,1913,SEEUD        HSN   ZS111230VDHW N29555400E122214800    N29555400E122214800W0040000302     WGEZHOUSHAN                      ,SEEUD        HSN   ZS2S    UN                                             W006300030                                       
S,EEU,D,,,,,HTG,UN,11310,VDHW,N71581040,E102293350,,N71581040,E102293350,E0050,00098,2,,,WGE,KHATANGA,S,Simulation application continuation,UN,E0019,00098,71965,1707,SEEUD        HTG   UN111310VDHW N71581040E102293350    N71581040E102293350E0050000982     WGEKHATANGA                      ,SEEUD        HTG   UN2S    UN                                             E001900098                                       
S,EEU,D,,,,,HTN,ZW,11310,VDHW,N37021200,E079520600,,N37021200,E079520600,E0020,04695,2,,598,WGE,HOTAN,S,Simulation application continuation,UU,E0028,04695,71967,1913,SEEUD        HTN   ZW111310VDHW N37021200E079520600    N37021200E079520600E0020046952  598WGEHOTAN                         ,SEEUD        HTN   ZW2S    UU                                             E002804695                                       
S,EEU,D,,,,,HUN,ZS,11330,VDHW,N33462932,E119064028,,N33462932,E119064028,W0050,00059,2,,560,WGE,HUAIAN,S,Simulation application continuation,UY,W0067,00059,71969,1805,SEEUD        HUN   ZS111330VDHW N33462932E119064028    N33462932E119064028W0050000592  560WGEHUAIAN                        ,SEEUD        HUN   ZS2S    UY                                             W006700059                                       
S,EEU,D,,,,,HUR,ZB,11360,VDHW,N40194800,E116445400,,N40194800,E116445400,W0080,00203,2,,497,WGE,HUAIROU,S,Simulation application continuation,UN,W0077,00203,71971,2411,SEEUD        HUR   ZB111360VDHW N40194800E116445400    N40194800E116445400W0080002032  497WGEHUAIROU                       ,SEEUD        HUR   ZB2S    UN                                             W007700203                                       
S,EEU,D,,,,,HUT,ZJ,11470,VDHW,N18182325,E109262088,,N18182325,E109262088,W0020,00108,2,,495,WGE,FENGHUANG,S,Simulation application continuation,UN,W0019,00108,71973,2401,SEEUD        HUT   ZJ111470VDHW N18182325E109262088    N18182325E109262088W0020001082  495WGEFENGHUANG                     ,SEEUD        HUT   ZJ2S    UN                                             W001900108                                       
S,EEU,D,,,,,HUY,ZG,11200,VDHW,N28344800,E109270000,,N28344800,E109270000,W0030,00500,2,,431,WGE,HUAYUAN,S,Simulation application continuation,UN,W0034,,71975,1601,SEEUD        HUY   ZG111200VDHW N28344800E109270000    N28344800E109270000W0030005002  431WGEHUAYUAN                       ,SEEUD        HUY   ZG2S    UN                                             W0034                                            
S,EEU,D,,,,,IGR,UN,11230,VDUW,N67254970,E086380960,,N67254970,E086380960,E0160,00098,2,,470,WGE,IGARKA,S,Simulation application continuation,UN,E0159,00098,71979,2401,SEEUD        IGR   UN111230VDUW N67254970E086380960    N67254970E086380960E0160000982  470WGEIGARKA                        ,SEEUD        IGR   UN2S    UN                                             E015900098                                       
S,EEU,D,,,,,IKT,UI,11300,VDHW,N52152950,E104254120,,N52152950,E104254120,W0050,01673,2,,,WGE,IRKUTSK,S,Simulation application continuation,UN,W0048,01673,71985,2405,SEEUD        IKT   UI111300VDHW N52152950E104254120    N52152950E104254120W0050016732     WGEIRKUTSK                       ,SEEUD        IKT   UI2S    UN                                             W004801673                                       
S,EEU,D,,,,,ILK,UC,11400,VDHW,N42344424,E076401964,,N42344424,E076401964,E0050,05426,2,,578,WGE,ISSYK-KUL,S,Simulation application continuation,UY,E0050,,71989,1701,SEEUD        ILK   UC111400VDHW N42344424E076401964    N42344424E076401964E0050054262  578WGEISSYK-KUL                     ,SEEUD        ILK   UC2S    UY                                             E0050                                            
S,EEU,D,,,,,IOK,UW,11180,VDHW,N56422130,E047535420,,N56422130,E047535420,E0140,00400,2,,347,WGE,YOSHKAR-OLA,S,Simulation application continuation,UN,E0145,00400,71995,2307,SEEUD        IOK   UW111180VDHW N56422130E047535420    N56422130E047535420E0140004002  347WGEYOSHKAR-OLA                   ,SEEUD        IOK   UW2S    UN                                             E014500400                                       
S,EEU,D,,,,,IVF,UK,11420,VDHW,N48530300,E024412900,,N48530300,E024412900,E0060,00937,2,,453,WGE,IVANO-FRANKIVSK,S,Simulation application continuation,UN,E0070,00937,72005,1812,SEEUD        IVF   UK111420VDHW N48530300E024412900    N48530300E024412900E0060009372  453WGEIVANO-FRANKIVSK               ,SEEUD        IVF   UK2S    UN                                             E007000937                                       
S,EEU,D,,,,,JAN,LZ,11080,VDHW,N48104320,E017324080,,N48104320,E017324080,E0050,00420,2,,351,WGE,JANOVCE,S,Simulation application continuation,UN,E0055,00420,72009,2310,SEEUD        JAN   LZ111080VDHW N48104320E017324080    N48104320E017324080E0050004202  351WGEJANOVCE                       ,SEEUD        JAN   LZ2S    UN                                             E005500420                                       
S,EEU,D,,,,,JBL,UT,11350,VDHW,N39392366,E054125021,,N39392366,E054125021,E0060,00002,2,,443,WGE,BALKANABAT,S,Simulation application continuation,UN,E0061,00002,72011,2504,SEEUD        JBL   UT111350VDHW N39392366E054125021    N39392366E054125021E0060000022  443WGEBALKANABAT                    ,SEEUD        JBL   UT2S    UN                                             E006100002                                       
S,EEU,D,,,,,JCS,ZG,11660,VDHW,N23355400,E116244200,,N23355400,E116244200,W0040,00453,2,,,WGE,NIULING,S,Simulation application continuation,UY,W0039,00453,72013,1913,SEEUD        JCS   ZG111660VDHW N23355400E116244200    N23355400E116244200W0040004532     WGENIULING                       ,SEEUD        JCS   ZG2S    UY                                             W003900453                                       
S,EEU,D,,,,,JDE,ZS,11625,VDHW,N36172400,E120151200,,N36172400,E120151200,W0070,00171,2,,,WGE,SHANGMA,S,Simulation application continuation,UY,W0076,00171,72015,2108,SEEUD        JDE   ZS111625VDHW N36172400E120151200    N36172400E120151200W0070001712     WGESHANGMA                       ,SEEUD        JDE   ZS2S    UY                                             W007600171                                       
S,EEU,D,,,,,JDG,ZS,11445,VDHW,N36224200,E120040000,,N36224200,E120040000,W0070,00043,2,,457,WGE,JIAODONG,S,Simulation application continuation,UY,W0076,00043,72017,2108,SEEUD        JDG   ZS111445VDHW N36224200E120040000    N36224200E120040000W0070000432  457WGEJIAODONG                      ,SEEUD        JDG   ZS2S    UY                                             W007600043                                       
S,EEU,D,,,,,JDW,ZS,11685,VDHW,N36194800,E119583600,,N36194800,E119583600,W0070,00161,2,,,WGE,JIAOBEI,S,Simulation application continuation,UY,W0075,00161,72019,2108,SEEUD        JDW   ZS111685VDHW N36194800E119583600    N36194800E119583600W0070001612     WGEJIAOBEI                       ,SEEUD        JDW   ZS2S    UY                                             W007500161                                       
S,EEU,D,,,,,JDZ,ZS,11770,VDHW,N29203600,E117103000,,N29203600,E117103000,W0050,00141,2,,453,WGE,JINGDEZHEN,S,Simulation application continuation,UN,W0053,00141,72021,2413,SEEUD        JDZ   ZS111770VDHW N29203600E117103000    N29203600E117103000W0050001412  453WGEJINGDEZHEN                    ,SEEUD        JDZ   ZS2S    UN                                             W005300141                                       
S,EEU,D,,,,,JHG,ZP,11250,VDHW,N21514800,E100561200,,N21514800,E100561200,W0010,01814,2,,511,WGE,GANLANBA,S,Simulation application continuation,UN,W0012,01814,72025,1806,SEEUD        JHG   ZP111250VDHW N21514800E100561200    N21514800E100561200W0010018142  511WGEGANLANBA                      ,SEEUD        JHG   ZP2S    UN                                             W001201814                                       
S,EEU,D,,,,,JHS,ZS,11750,VDHW,N30433600,E117423000,,N30433600,E117423000,W0060,00085,2,,325,WGE,CHIZHOU,S,Simulation application continuation,UY,W0057,00085,72027,2413,SEEUD        JHS   ZS111750VDHW N30433600E117423000    N30433600E117423000W0060000852  325WGECHIZHOU                       ,SEEUD        JHS   ZS2S    UY                                             W005700085                                       
S,EEU,D,,,,,JIG,ZL,11370,VDHW,N35315400,E105432400,,N35315400,E105432400,W0030,00001,2,,562,WGE,JINGNING,S,Simulation application continuation,UN,W0034,,72029,1105,SEEUD        JIG   ZL111370VDHW N35315400E105432400    N35315400E105432400W0030000012  562WGEJINGNING                      ,SEEUD        JIG   ZL2S    UN                                             W0034                                            
S,EEU,D,,,,,JMU,ZY,11350,VDHW,N46503000,E130275400,,N46503000,E130275400,W0110,00299,2,,540,WGE,JIAMUSI,S,Simulation application continuation,UN,W0119,00299,72031,1913,SEEUD        JMU   ZY111350VDHW N46503000E130275400    N46503000E130275400W0110002992  540WGEJIAMUSI                       ,SEEUD        JMU   ZY2S    UN                                             W011900299                                       
S,EEU,D,,,,,JNJ,ZS,11700,VDHW,N24481179,E118354366,,N24481179,E118354366,W0050,00033,2,,,WGE,JINJIANG,S,Simulation application continuation,UN,W0045,00033,72033,2502,SEEUD        JNJ   ZS111700VDHW N24481179E118354366    N24481179E118354366W0050000332     WGEJINJIANG                      ,SEEUD        JNJ   ZS2S    UN                                             W004500033                                       
S,EEU,D,,,,,JNQ,ZL,11270,VDHW,N41592400,E101030000,,N41592400,E101030000,W0020,03114,2,,,WGE,EJINAQI,S,Simulation application continuation,UN,W0024,03114,72035,1707,SEEUD        JNQ   ZL111270VDHW N41592400E101030000    N41592400E101030000W0020031142     WGEEJINAQI                       ,SEEUD        JNQ   ZL2S    UN                                             W002403114                                       
S,EEU,D,,,,,JRK,UA,11480,VDHW,N44134400,E079571900,,N44134400,E079571900,E0050,02600,2,,,WGE,JARKENT,S,Simulation application continuation,UN,E0048,02600,72037,1912,SEEUD        JRK   UA111480VDHW N44134400E079571900    N44134400E079571900E0050026002     WGEJARKENT                       ,SEEUD        JRK   UA2S    UN                                             E004802600                                       
S,EEU,D,,,,,JSG,ZL,11610,VDHW,N39504200,E098212400,,N39504200,E098212400,W0010,05108,2,,531,WGE,JIAYUGUAN,S,Simulation application continuation,UN,W0014,05108,72039,2505,SEEUD        JSG   ZL111610VDHW N39504200E098212400    N39504200E098212400W0010051082  531WGEJIAYUGUAN                     ,SEEUD        JSG   ZL2S    UN                                             W001405108                                       
S,EEU,D,,,,,JTA,ZL,11490,VDHW,N37114800,E104044800,,N37114800,E104044800,W0020,00001,2,,,WGE,JINGTAI,S,Simulation application continuation,UU,W0031,,72041,1105,SEEUD        JTA   ZL111490VDHW N37114800E104044800    N37114800E104044800W0020000012     WGEJINGTAI                       ,SEEUD        JTA   ZL2S    UU                                             W0031                                            
S,EEU,D,,,,,JTG,ZU,11540,VDHW,N30521800,E104232400,,N30521800,E104232400,W0020,01500,2,,562,WGE,JINTANG,S,Simulation application continuation,UN,W0025,01500,72043,1713,SEEUD        JTG   ZU111540VDHW N30521800E104232400    N30521800E104232400W0020015002  562WGEJINTANG                       ,SEEUD        JTG   ZU2S    UN                                             W002501500                                       
S,EEU,D,,,,,JTN,ZS,10960,VDHW,N31072400,E121203000,,N31072400,E121203000,W0060,00092,2,,498,WGE,JIUTING,S,Simulation application continuation,UN,W0065,00092,72045,2105,SEEUD        JTN   ZS110960VDHW N31072400E121203000    N31072400E121203000W0060000922  498WGEJIUTING                       ,SEEUD        JTN   ZS2S    UN                                             W006500092                                       
S,EEU,D,,,,,JYA,ZU,11465,VDHW,N29462400,E104025400,,N29462400,E104025400,W0020,01532,2,,,WGE,JINGYAN,S,Simulation application continuation,UN,W0023,01532,72049,2105,SEEUD        JYA   ZU111465VDHW N29462400E104025400    N29462400E104025400W0020015322     WGEJINGYAN                       ,SEEUD        JYA   ZU2S    UN                                             W002301532                                       
S,EEU,D,,,,,JZK,UT,11220,VDLW,N40151670,E067543930,,N40151670,E067543930,E0050,01100,1,,,WGE,DJIZAK,S,Simulation application continuation,UN,E0054,01100,72051,2410,SEEUD        JZK   UT111220VDLW N40151670E067543930    N40151670E067543930E0050011001     WGEDJIZAK                        ,SEEUD        JZK   UT2S    UN                                             E005401100                                       
S,EEU,D,,,,,KAK,EP,11280,VDH,N50043560,E019471680,,N50043560,E019471680,E0060,00800,2,,350,WGE,KRAKOW,S,Simulation application continuation,UN,E0062,00800,72055,2406,SEEUD        KAK   EP111280VDH  N50043560E019471680    N50043560E019471680E0060008002  350WGEKRAKOW                        ,SEEUD        KAK   EP2S    UN                                             E006200800                                       
S,EEU,D,,,,,KAX,EP,11480,VDH,N50283970,E019050640,,N50283970,E019050640,E0060,01000,2,,336,WGE,KATOWICE,S,Simulation application continuation,UN,E0062,01000,72059,2406,SEEUD        KAX   EP111480VDH  N50283970E019050640    N50283970E019050640E0060010002  336WGEKATOWICE                      ,SEEUD        KAX   EP2S    UN                                             E006201000                                       
S,EEU,D,,,,,KDJ,ZU,11240,VDHW,N30083000,E101435400,,N30083000,E101435400,W0020,13937,2,,520,WGE,KANGDING,S,Simulation application continuation,UY,W0019,13937,72063,1803,SEEUD        KDJ   ZU111240VDHW N30083000E101435400    N30083000E101435400W0020139372  520WGEKANGDING                      ,SEEUD        KDJ   ZU2S    UY                                             W001913937                                       
S,EEU,D,,,,,KET,LH,11415,VTHW,N46553620,E019433660,,N46553620,E019433660,E0050,00420,2,,508,WGE,KECSKEMET,S,Simulation application continuation,UY,E0057,,72067,2211,SEEUD        KET   LH111415VTHW N46553620E019433660    N46553620E019433660E0050004202  508WGEKECSKEMET                     ,SEEUD        KET   LH2S    UY                                             E0057                                            
S,EEU,D,,,,,KGF,ZH,11645,VDLW,N30090000,E114454200,,N30090000,E114454200,W0050,00374,1,,,WGE,CHASHAN,S,Simulation application continuation,UN,W0049,00374,72073,2308,SEEUD        KGF   ZH111645VDLW N30090000E114454200    N30090000E114454200W0050003741     WGECHASHAN                       ,SEEUD        KGF   ZH2S    UN                                             W004900374                                       
S,EEU,D,,,,,KHG,ZW,11570,VDHW,N39324800,E076012400,,N39324800,E076012400,E0040,04596,2,,586,WGE,KASHI,S,Simulation application continuation,UN,E0041,04596,72075,2205,SEEUD        KHG   ZW111570VDHW N39324800E076012400    N39324800E076012400E0040045962  586WGEKASHI                         ,SEEUD        KHG   ZW2S    UN                                             E004104596                                       
S,EEU,D,,,,,KHN,ZS,11270,VDHW,N28254800,E115552400,,N28254800,E115552400,W0030,00030,2,,254,WGE,XIANGTANG,S,Simulation application continuation,UN,W0048,00030,72077,1708,SEEUD        KHN   ZS111270VDHW N28254800E115552400    N28254800E115552400W0030000302  254WGEXIANGTANG                     ,SEEUD        KHN   ZS2S    UN                                             W004800030                                       
S,EEU,D,,,,,KHP,ZU,11340,VDHW,N26582400,E107593000,,N26582400,E107593000,W0020,03094,2,,390,WGE,HUANGPING,S,Simulation application continuation,UN,W0028,,72079,1504,SEEUD        KHP   ZU111340VDHW N26582400E107593000    N26582400E107593000W0020030942  390WGEHUANGPING                     ,SEEUD        KHP   ZU2S    UN                                             W0028                                            
S,EEU,D,,,,,KHR,UK,11650,VDHW,N49554410,E036172560,,N49554410,E036172560,E0100,00537,2,,,WGE,KHARKIV,S,Simulation application continuation,UN,E0092,00537,72081,1803,SEEUD        KHR   UK111650VDHW N49554410E036172560    N49554410E036172560E0100005372     WGEKHARKIV                       ,SEEUD        KHR   UK2S    UN                                             E009200537                                       
S,EEU,D,,,,,KIV,LU,11370,VDH,N46553370,E028541620,,N46553370,E028541620,E0070,00400,2,,523,WGE,CHISINAU,S,Simulation application continuation,UN,E0072,00400,72083,2013,SEEUD        KIV   LU111370VDH  N46553370E028541620    N46553370E028541620E0070004002  523WGECHISINAU                      ,SEEUD        KIV   LU2S    UN                                             E007200400                                       
S,EEU,D,,,,,KLG,UU,11400,VDLW,N54330830,E036221180,,N54330830,E036221180,E0110,00700,1,,424,WGE,KALUGA,S,Simulation application continuation,UN,E0111,00700,72087,2504,SEEUD        KLG   UU111400VDLW N54330830E036221180    N54330830E036221180E0110007001  424WGEKALUGA                        ,SEEUD        KLG   UU2S    UN                                             E011100700                                       
S,EEU,D,,,,,KLM,ZW,11330,VDHW,N45285680,E084555750,,N45285680,E084555750,E0040,00938,2,,555,WGE,KELAMAYI,S,Simulation application continuation,UN,E0038,00938,72089,2502,SEEUD        KLM   ZW111330VDHW N45285680E084555750    N45285680E084555750E0040009382  555WGEKELAMAYI                      ,SEEUD        KLM   ZW2S    UN                                             E003800938                                       
S,EEU,D,,,,,KLP,EY,11500,VDH,N55425600,E021143700,,N55425600,E021143700,E0060,00100,2,,466,WGE,KLAIPEDA,S,Simulation application continuation,UU,E0078,00100,72093,2108,SEEUD        KLP   EY111500VDH  N55425600E021143700    N55425600E021143700E0060001002  466WGEKLAIPEDA                      ,SEEUD        KLP   EY2S    UU                                             E007800100                                       
S,EEU,D,,,,,KLP,UN,11250,VDHW,N58210900,E082552900,,N58210900,E082552900,E0100,00295,2,,500,WGE,KOLPASHEVO,S,Simulation application continuation,UY,E0102,00295,72095,2301,SEEUD        KLP   UN111250VDHW N58210900E082552900    N58210900E082552900E0100002952  500WGEKOLPASHEVO                    ,SEEUD        KLP   UN2S    UY                                             E010200295                                       
S,EEU,D,,,,,KLX,ZL,11060,VDHW,N34155400,E109145400,,N34155400,E109145400,W0030,02979,2,,,WGE,KOULING,S,Simulation application continuation,UN,W0042,02979,72097,1710,SEEUD        KLX   ZL111060VDHW N34155400E109145400    N34155400E109145400W0030029792     WGEKOULING                       ,SEEUD        KLX   ZL2S    UN                                             W004202979                                       
S,EEU,D,,,,,KN,UH,11060,VDHW,N43230320,E132070620,,N43230320,E132070620,W0110,00098,2,,356,WGE,KNEVICHI,S,Simulation application continuation,UN,W0109,00098,72103,2305,SEEUD        KN    UH111060VDHW N43230320E132070620    N43230320E132070620W0110000982  356WGEKNEVICHI                      ,SEEUD        KN    UH2S    UN                                             W010900098                                       
S,EEU,D,,,,,KNA,EY,11440,VDH,N54573740,E024035910,,N54573740,E024035910,E0080,00300,2,,293,WGE,KAUNAS,S,Simulation application continuation,UN,E0083,00300,72105,2106,SEEUD        KNA   EY111440VDH  N54573740E024035910    N54573740E024035910E0080003002  293WGEKAUNAS                        ,SEEUD        KNA   EY2S    UN                                             E008300300                                       
S,EEU,D,,,,,KND,UR,11580,VDHW,N45011550,E039095040,,N45011510,E039095010,E0080,00100,2,,405,WGE,KRASNODAR-PASHKOVSKIY,S,Simulation application continuation,UN,E0078,00100,72107,2307,SEEUD        KND   UR111580VDHW N45011550E039095040    N45011510E039095010E0080001002  405WGEKRASNODAR-PASHKOVSKIY         ,SEEUD        KND   UR2S    UN                                             E007800100                                       
S,EEU,D,,,,,KRD,UM,11705,VDHW,N54533580,E020355860,,N54533580,E020355860,E0070,00098,2,,166,WGE,KHRABROVO,S,Simulation application continuation,UN,E0074,00098,72113,2404,SEEUD        KRD   UM111705VDHW N54533580E020355860    N54533580E020355860E0070000982  166WGEKHRABROVO                     ,SEEUD        KRD   UM2S    UN                                             E007400098                                       
S,EEU,D,,,,,KRG,UA,11340,VDH,N49411390,E073222570,,N49411390,E073222570,E0080,01800,2,,400,WGE,KARAGANDA,S,Simulation application continuation,UN,E0088,01800,72115,2105,SEEUD        KRG   UA111340VDH  N49411390E073222570    N49411390E073222570E0080018002  400WGEKARAGANDA                     ,SEEUD        KRG   UA2S    UN                                             E008801800                                       
S,EEU,D,,,,,KRN,UI,11280,VDHW,N57461900,E108040300,,N57461900,E108040300,W0060,00869,2,,,WGE,KIRENSK,S,Simulation application continuation,UN,W0076,,72121,1504,SEEUD        KRN   UI111280VDHW N57461900E108040300    N57461900E108040300W0060008692     WGEKIRENSK                       ,SEEUD        KRN   UI2S    UN                                             W0076                                            
